Symbol,Price,Quarter
MMM,150.25943710432546,1
AOS,103.66837050222577,1
ABT,253.78032578930936,1
ABBV,306.82377025396477,1
ACN,211.43749123431144,1
ATVI,349.3349515675525,1
AYI,369.32411585148327,1
ADBE,119.29037395468154,1
AAP,197.2348465211025,1
AMD,93.52714719057212,1
AES,213.6157760958753,1
AET,343.7705158236798,1
AMG,241.23223077791772,1
AFL,372.8258094806671,1
A,108.53714554018167,1
APD,198.4313751873167,1
AKAM,157.73267733793756,1
ALK,140.99840623043815,1
ALB,77.54580953956109,1
ARE,359.85983934165876,1
ALXN,106.8661103788206,1
ALGN,118.29711433760033,1
ALLE,197.28378603940342,1
AGN,278.7464886269853,1
ADS,78.08030102182161,1
LNT,358.12580343781735,1
ALL,130.61532924135642,1
GOOGL,109.17565698683052,1
GOOG,216.43237972715903,1
MO,182.65899561503215,1
AMZN,220.75007773735837,1
AEE,233.23947169391016,1
AAL,100.89943100506959,1
AEP,266.61592847640014,1
AXP,291.93682714627306,1
AIG,285.70418985433713,1
AMT,340.957359369518,1
AWK,341.1390280029895,1
AMP,169.53159524981317,1
ABC,292.14921017261696,1
AME,272.8049580637719,1
AMGN,280.8574924410069,1
APH,330.8151376521435,1
APC,153.25608043524238,1
ADI,139.93601157046902,1
ANDV,93.15666286736266,1
ANSS,276.76764602363073,1
ANTM,197.21446921507675,1
AON,85.72967380855681,1
APA,140.45791723148727,1
AIV,127.91760196996594,1
AAPL,275.19794669919565,1
AMAT,195.78959722518263,1
APTV,184.7763423898465,1
ADM,163.9367001004512,1
ARNC,217.9304292857893,1
AJG,123.55505304497414,1
AIZ,266.613918920016,1
T,342.44485761673604,1
ADSK,197.28688792567084,1
ADP,210.65588159578218,1
AZO,213.65523564118516,1
AVB,297.13951966042316,1
AVY,231.88111407380723,1
BHGE,122.19949406896828,1
BLL,289.9170315574024,1
BAC,209.39659062379863,1
BAX,91.54017341167341,1
BBT,298.38493560486546,1
BDX,207.87900076344405,1
BRK.B,241.81005973570672,1
BBY,359.98076818236257,1
BIIB,201.57285956227793,1
BLK,204.11436023033784,1
HRB,305.6475984770684,1
BA,86.75237882266497,1
BKNG,302.5565663956927,1
BWA,176.95566037135134,1
BXP,355.4393669749228,1
BSX,251.18619957913222,1
BHF,282.9290684175948,1
BMY,366.9216868838381,1
AVGO,322.3552832079878,1
BF.B,148.01105024343346,1
CHRW,248.11910565498656,1
CA,88.62003712648456,1
COG,190.0869455497676,1
CDNS,282.2763603364963,1
CPB,118.22307564677058,1
COF,256.7472255030482,1
CAH,333.37993417804137,1
KMX,266.21553529803464,1
CCL,264.4064669806195,1
CAT,224.91849767957027,1
CBOE,163.58172779586226,1
CBRE,170.27606814766582,1
CBS,205.50881973131735,1
CELG,309.5861455222438,1
CNC,139.04116586005705,1
CNP,350.4775508695996,1
CTL,318.96671050585564,1
CERN,98.12492116868775,1
CF,244.600170159593,1
SCHW,190.5333241337022,1
CHTR,263.61988169126255,1
CVX,253.14624130573662,1
CMG,262.90198957693815,1
CB,76.14685473303001,1
CHD,297.2837199444971,1
CI,83.66680061615929,1
XEC,370.42928208635044,1
CINF,132.48690858733778,1
CTAS,354.0590763683727,1
CSCO,232.99583103640123,1
C,106.70560258742998,1
CFG,369.7279222848499,1
CTXS,261.28038887789785,1
CME,276.0824071521811,1
CMS,145.38184162801454,1
KO,354.049180608642,1
CTSH,260.76033440239803,1
CL,223.86137103508491,1
CMCSA,123.81056561088576,1
CMA,161.61885920092112,1
CAG,279.53298161972543,1
CXO,205.32445723421128,1
COP,325.300590150673,1
ED,185.7953364754846,1
STZ,313.69585826501543,1
GLW,300.52726109130015,1
COST,151.13102177931052,1
COTY,312.87268988560686,1
CCI,351.0938767300229,1
CSRA,364.3114742217972,1
CSX,250.2349574169654,1
CMI,160.7715686709268,1
CVS,89.28456869456201,1
DHI,323.2584635912931,1
DHR,240.1860816201149,1
DRI,159.08517194264977,1
DVA,200.60021503099182,1
DE,318.5326542600063,1
DAL,128.39786659234034,1
XRAY,160.81647365080755,1
DVN,203.76403726677256,1
DLR,158.19299122665439,1
DFS,206.12926773063162,1
DISCA,192.75589311280123,1
DISCK,172.9066602505486,1
DISH,204.47380435039338,1
DG,293.78137800469176,1
DLTR,252.92967309734135,1
D,353.3230174325854,1
DOV,192.20810497598427,1
DWDP,116.91157758525372,1
DPS,95.7846657364699,1
DTE,288.51334368419356,1
DUK,126.7978951798928,1
DRE,305.7361147369361,1
DXC,104.9048408187175,1
ETFC,271.60909237566773,1
EMN,280.2567173389599,1
ETN,168.65446971966827,1
EBAY,365.25353426022076,1
ECL,214.52577931008773,1
EIX,93.64510085269072,1
EW,339.29162174293606,1
EA,195.84073539173497,1
EMR,146.0845306291873,1
ETR,224.85140666829352,1
EVHC,168.17571303847632,1
EOG,216.1362317313461,1
EQT,191.14421278603385,1
EFX,78.44701525658238,1
EQIX,346.1043768795604,1
EQR,132.64209077098857,1
ESS,325.75862908226105,1
EL,212.3033277938399,1
RE,280.6969874475018,1
ES,222.50844615304229,1
EXC,276.6104798063996,1
EXPE,89.97245057008902,1
EXPD,93.49316152892793,1
ESRX,166.63786001518048,1
EXR,289.2915687221904,1
XOM,85.19247874413217,1
FFIV,166.16874382411788,1
FB,128.70096426251752,1
FAST,272.1250219123847,1
FRT,208.5879560645434,1
FDX,86.60857153323735,1
FIS,365.29239698858953,1
FITB,103.57837767878183,1
FE,137.47198730170987,1
FISV,92.2231932960032,1
FLIR,333.7993246658596,1
FLS,261.8297877244951,1
FLR,196.23891996140642,1
FMC,294.47474729283476,1
FL,166.25295830617284,1
F,286.45314850790567,1
FTV,205.85161204926638,1
FBHS,220.93999203520224,1
BEN,112.3218387367927,1
FCX,236.21881590792785,1
GPS,211.22999575440227,1
GRMN,272.8709858760126,1
IT,269.29165399867543,1
GD,140.2530432361607,1
GE,158.00532385764373,1
GGP,321.0540234828293,1
GIS,149.17401364923677,1
GM,344.78990644673945,1
GPC,313.492744105097,1
GILD,134.45108023879607,1
GPN,256.1512856588742,1
GS,284.64495180201834,1
GT,170.16697417463598,1
GWW,289.70092950957815,1
HAL,153.34342622062888,1
HBI,280.6681351388944,1
HOG,140.8367282732916,1
HRS,202.32165888354854,1
HIG,239.40555388862623,1
HAS,172.35540286945803,1
HCA,76.58741136220348,1
HCP,146.25134146893322,1
HP,273.7593497655852,1
HSIC,91.90315518696755,1
HES,231.2054184436528,1
HPE,199.68499916968648,1
HLT,214.09740748461252,1
HOLX,136.6967864197848,1
HD,129.39850547164667,1
HON,328.5665696959429,1
HRL,319.11961381802644,1
HST,104.23858507989944,1
HPQ,178.03848621491983,1
HUM,99.1568132832763,1
HBAN,172.93218023076503,1
HII,146.52500244569103,1
IDXX,280.87657875639263,1
INFO,246.85329771542857,1
ITW,265.0889945367162,1
ILMN,172.6359359765044,1
INCY,365.68094838671175,1
IR,200.2180599084396,1
INTC,163.64742916792727,1
ICE,142.61625116036112,1
IBM,118.34950750559968,1
IP,273.03349686317785,1
IPG,282.0950653224524,1
IFF,336.76739169509085,1
INTU,213.36030726553273,1
ISRG,95.83846526876431,1
IVZ,125.01706010875569,1
IPGP,213.03550050950918,1
IQV,149.70234954635143,1
IRM,255.98941051550403,1
JBHT,111.27382923850703,1
JEC,354.3520248037052,1
SJM,266.16403633541665,1
JNJ,99.41904238745656,1
JCI,286.70612315773485,1
JPM,159.56306149328492,1
JNPR,356.0840769200271,1
KSU,243.18462442582762,1
K,109.0459814750881,1
KEY,162.44809890639237,1
KMB,312.4001779385713,1
KIM,78.20896411833851,1
KMI,279.6739613985845,1
KLAC,126.33924556359088,1
KSS,196.50840635157087,1
KHC,83.41509688617417,1
KR,261.0298905750726,1
LB,115.75957061297515,1
LLL,104.16175981256744,1
LH,133.92653850672306,1
LRCX,119.6065059409933,1
LEG,103.91142970489396,1
LEN,370.5141642201299,1
LUK,173.79511868989158,1
LLY,252.35283948503672,1
LNC,289.6465499143027,1
LKQ,187.22819467040068,1
LMT,115.22051264850246,1
L,163.39732620963514,1
LOW,316.8448092306937,1
LYB,160.290991061074,1
MTB,336.72018071968506,1
MAC,308.58231629354464,1
M,219.15386379633654,1
MRO,195.11921419925906,1
MPC,102.19670106010895,1
MAR,359.2442810165606,1
MMC,179.0588419666954,1
MLM,362.537537657273,1
MAS,114.06114234510832,1
MA,325.1564972596227,1
MAT,286.00207265451814,1
MKC,196.138304559103,1
MCD,146.34130351961528,1
MCK,296.5737413744989,1
MDT,77.2009068514473,1
MRK,356.95930686450504,1
MET,262.70260639212245,1
MTD,278.75498497640126,1
MGM,151.32923337346529,1
KORS,369.31679394270003,1
MCHP,191.6393527732871,1
MU,279.3760674721251,1
MSFT,202.64068942709426,1
MAA,117.06702922719572,1
MHK,90.96128134735824,1
TAP,112.03482216174608,1
MDLZ,250.78445760349877,1
MON,129.86174510172594,1
MNST,268.1911167352778,1
